,Question,reponse,type
447,انا استخدم بيوتين شعر 10000 اقدر استخدم معه سنتروم؟,لا تفيد بدون وجود نقص بالدم ولا تدمج اكثر من نوع,الأمراض الجلدية
448,دكتور انا بعاني من رموشي كثير يعني يوميا الا يدخل رمش بعيني وبرضو في رموش على طرف عيني متلامسه حرفيا مع عيني في حل ل الاشي هاذ؟,"أتمنى لك السلامة، وأود الإشارة بداية أن مشكلة تساقط الرموش ودخولها في العين قد تكون ناجمة عن عدد من الأسباب والمشاكل الصحية، وبشكل عام فإنه من الطبيعي تمامًا سقوط ما يقارب 5 شعرات من الرموش في اليوم ضمن دورة حياة الشعر الطبيعية، لأن رموش العين تتبدل بشكل كامل كل 10 أسابيع تقريبًا، وقد يكون لدخول الرموش في العين عند تساقطها سبب متعلق بأحد العادات مثل فرك العين.
 
أما بالنسبة للأسباب المرضية لتساقط شعر الرموش فقد تتضمن الآتي:

عوز بعض الفيتامينات والمعادن.
التهاب جفن العين.
اضطرابات الغدة الدرقية.
فرك العين النفسي.
استخدام المواد التجميلية.
بعض أنواع أمراض المناعة الذاتية.

أما بالنسبة لمشكلة نمو رموش العين باتجاه العين ودخولها في العين فإن هذه المشكلة تعرف بانحراف الأهداب (بالإنجليزية: Trichiasis)، ولها العديد من الأسباب، وقد تؤدي إلى تهيج في العين، لذلك يجب عدم التأخر في مراجعة الطبيب للخضوع للعلاج المناسب بحسب الحالة.
 
",الأمراض الجلدية
449,"أعاني من من طفح جلدي عام يزداد مع الحرارة غير موسمي ،مع حكة ،و يسبب عدم تعرق ليزيد الحكة مرة أخرى
استعملت من قبل مراهم الكورتيزون ،نفعت لفترة مؤقتة ، في خلال الاستعمال تعرق الجلد و تلطف و ذهبت الحكة و بها الطفح الجلدي و كان هنالك بعض الحبوب و الأقراص مع العلاج .",لازم معاينه بالعياده,الأمراض الجلدية
450,السلام عليكم .. اريد ان اسال عن روتين شعر (بلسم وسيرم) لشعر خفيف و دهني .. حيث ان الوالد به صلع وراثي .. أريد روتين بلسم وسيرم يكونوا مناسبين للشعر الدهني الخفيف لكي يكون الشعر ناعم ونائم ومنظره كويس .. وشكرا,"هناك العديد من أنواع كريمات الشعر وشامبو الشعر المخصصة للشعر الخفيف والشعر الدهني ولا يوجد نوع محدد يمكن القول أنه النوع الأفضل، ويتعمد ذلك على الأنواع المتوفرة في الصيدليات في بلدك.
 
سوف أقدم لك فيما يأتي مجموعة من النصائح للعناية بالشعر الخفيف والشعر الدهني:

غسل الشعر بشكل دوري.
وضع كمية معتدلة من الشامبو.
الحد من استخدام بلسم الشعر، وتجنب تطبيقه على فروة الرأس.
الحرص على اتباع نظام غذائي صحي.
استشارة الطبيب حول الحاجة لاستخدام المكملات الغذائية المناسبة للشعر.
تجنب تسريحة الشعر التي تسبب الضغط على الشعر أو فروة الرأس.
تجنب الاستحمام بالماء الحار.
تدليك فروة الرأس أثناء الاستحمام.
الحد من استخدام مجفف الشعر.

",الأمراض الجلدية
451,السلام عليكم انا عندي حبوب طالعه في عيوني في الجزء السفلي في جفن العين كانت محمره وبقيت حبوب ومحمره من جوا العين في الجزء السفلي,"أتمنى لك الشفاء العاجل، وأود الإشارة أن هناك عدة أسباب لتشكل حبوب حمراء في الجفن السفلي للعين، وبشكل عام فإن الحالة لديك متقدمة وتتطلب الخضوع للعلاج، فلا يجب إهمال مراجعة الطبيب للوقاية من تطور مضاعفات صحية، وفي الغالب فإن سبب تشكل الحبوب الحمراء لديك الإصابة بأحد أنواع العدوى، والتأخر في الحصول على العلاج المناسب قد يؤدي إلى تطور بعض المضاعفات الصحية، ومنها الآتي:

التهاب الملتحمة.
تساقط الرموش.
فرط تدميع العين.
جفاف العين.
شعيرة العين.

سوف يتم تحديد العلاج المناسب للحبوب أسفل العين بناءً على تشخيص الطبيب للحالة، ونوع العدوى المسببة للحبوب، وقد يتضمن العلاج الآتي:

الأدوية المضادة للعدوى.
الأدوية المضادة للالتهاب.
قطرات ترطيب العين.
تطبيق كمادات دافئة على العين.
تدليك العين بمنشفة نظيفة.

",الأمراض الجلدية
452,بيطلعلي حبوب حمراء في رجلي وفي نص الحبايه يطلع دمل وساعات يطلع دمل علطول بقالي فترة كبيرة علي كدا ، حللت طلع عندي ديدان اسكارس ، الدمل دا من الاسكارس ولا مرض جلدي يستوجب اشوف دكتور جلديه,باطنه اولا,الأمراض الجلدية
453,"السلام عليكم .. انا مشكلتي كنت اعاني من حب الشباب ورحت عند دكتور عطاني روكتان ٢٠ مغ يومي لمدة ٦ اشهر وبعد العلاج والتحسن الكلي رجعت الحبوب
رجعت للدكتور وطلب مني فحص هرموني وطلع سليم وقرر يعطيني كوراكني ٢٠ مغ يومي مع ديان ٣٥ لمدة ٦ اشهر وبعد العلاج والتحسن الكلي رجعت الحبوب.. شو ممكن يكون السبب ؟؟",تحتاج مدة علاج اطول,الأمراض الجلدية
454,بنتي من انولدت و عندها شامه سوداء في باطن اليد وفي ظهرها .. عمرها الآن 16 شهر .. هل الشامة طبيعية؟؟ وشكراً,"بداية أود التوضيح أن الشامة في الظهر لا تستدعي القلق فمن الطبيعي ظهور شامة سوداء لدى الأطفال حديثي الولادة، أما بالنسبة للشامة السوداء في باطن اليد فقد تكون شامة غير مقلقة أيضًا، أو قد تكون ناجمة عن سبب آخر مثل بعض أنواع العدوى الفطرية، وفي جميع الأحوال فإن الشامة السوداء في الظهر أو الكف أو أي من أجزاء الجسم الأخرى تستدعي مراجعة الطبيب دون تأخير في حال كانت مصحوبة بأعراض أخرى، ومنها الآتي:

الحكة.
الألم.
الاحمرار أو الانتفاخ.
تغير في الشكل مع الزمن.
عدم وجود حدود واضحة محيطة بالشامة.
تغير في اللون.
النزيف من الشامة.
ظهور العديد من الشامات على جسم الطفل.
ولادة الطفل بشامة كبيرة، ويجب في هذه الحالة مراقبة الشامة بشكل دوري من قبل الطبيب.

",الأمراض الجلدية
455,البقع دى ظهرت وهل تدل على مرض خطير هى بقعة مع الم مكان البقعة داخل العضلة للعلم انى متخبطش فى المكان ده هى ظهرت فجأة وشكرا,"إن ظهور الكدمات على شكل البقع الصفراء موضع العضلات قد يعود للعديد من الأسباب المختلفة، وقد يكون ظهور البقع الصفراء على العضلات نتيجة قرب شفاء الكدمات، أي أنها ستشفى قريباً، ويمكن توضيح التغيرات في الألوان كما يلي:

إن التعرض للإصابة في العضلات يسبب تحرير بروتين الهيموجلوبين نتيجة تحلل خلايا الدم الحمراء.
يتم تحويل بروتين الهيموجلوبين في الجسم بعد تحرره لمواد كيميائية مختلفة تسبب تغير اللون موضع الإصابة.
يتم تحول الهيموجلوبين في مراحل الشفاء النهائية إلى مادة البيليروبين ذات اللون الأصفر، قبل أن يتلاشى اللون ببطء ويحدث الالتئام الطبيعي.

كما يوجد العديد من الأسباب الأخرى عدا عن الكدمات التي تسبب البقع الصفراء داخل العضلة، ومن أبرزها ما يلي:

التشنج العضلي وتقلص العضلات.
الورم الدموي.
الداء النشواني.

ينصح بضرورة مراجعة الطبيب المختص بأسرع وقت ممكن.
",الأمراض الجلدية
456,أعاني من رائحة الابط المقززة والتي تجعل الناس من حولي يستفرغون اضع مزيل العرق والعطور فتظهر أسوأ عملت فحص غدة درقية ووظائف الكلى طلع سليم وللعلم عندي تعرق توتري بسببها، فما الحل؟,"أتمنى لك السلامة، وأود الإشارة إلى أن الرائحة الكريهة والشديدة عند التعرق قد تدل على مشكلة جينية تؤثر في استقلاب بعض العناصر في الجسم مما يؤدي إلى طرحها من العرق، أو الإصابة بفرط التعرق والذي يؤدي بدوره إلى تجمع المزيد من البكتيريا والفطريات تحت طيات الجلد وصدور الرائحة الكريهة عند التعرق.
 
أنصحك بمراجعة طبيب مختص لتحديد سبب هذه الرائحة الكريهة ووصف العلاج المناسب، فهناك العديد من الخيارات العلاجية التي يتم اتباعها بحسب الحالة، ويجب عدم ترك المشكلة دون علاج وتسببها بمشاكل اجتماعية أو نفسية عليك.
 
قد يلجأ الطبيب إلى حقن البوتكس للحد من نشاط الغدد العرقية، أو قد يتم وصف بعض الأدوية التي تساهم في طرد العناصر المسببة للرائحة الكريهة، وفي حالات أقل شيوعًا قد تكون الرائحة الكريهة ناجمة عن مشاكل صحية أخرى، مثل بعض مشاكل الكلى، واضطرابات الغدة الدرقية.
 
",الأمراض الجلدية
457,منذ اكثر من سنة لدي حبوب بيضاء على كيس الصفن بعضها يعصر وبعضها لا .. ومنذ فترة ظهر انتفاخ بسيط لمدة يومين وثم اختفى مخلفاً القليل من القيح والدم فما هي الحالة وهل هو شيء خطير ؟,"هناك عدد من الأسباب المختلفة التي قد تؤدي إلى ظهور حبوب بيضاء على كيس الصفن، وفي جميع الأحوال يجب عدم إهمال علاج هذه الحبوب ومراجعة الطبيب في أقرب فرصة، لأن بعض أسباب الحبوب البيضاء على كيس الصفن تستدعي التدخل الطبي دون تأخير، خصوصًا أنك لاحظت حدوث انتفاخ مع قيح ودم كما ذكرت.
 
سوف أبين لك فيما يأتي مجموعة من أسباب الحبوب البيضاء على كيس الصفن:

نمو الشعر تحت الجلد.
التهاب بصيلات الشعر.
البثور الجلدية.
العدوى الفطرية.
الهربس التناسلي.
عدوى فيروس الورم الحليمي البشري.
بقع فورديس (بالإنجليزية: Fordyce spots)‏.

يعتمد علاج الحبوب البيضاء على كيس الصفن على مسبب الحبوب، وبعض الأسباب المذكورة خطيرة وتتطلب العلاج دون تأخير، وهو ما يؤكد على ضرورة مراجعتك للطبيب المختص في أقرب فرصة ممكنة.
 
",الأمراض الجلدية
458,أعاني كثيرا من حكة في المهبل عالجتها من قبل لكن عادت حتى إنه في بعض الأحيان الحكة توقظني من النوم و هذا الموضوع أرهقني تانيا لدي فطريات في الأصبع الأكبر من قدمي و يؤلمني عندما أرتدي الحذاء، هل ممكن تساعدني في إيجاد مرهم فعال ضد الحكة و دواء يعالجني,"بداية بالنسبة للحكة المهبلية فإن لها العديد من الأسباب المختلفة، ولا يوجد دواء محدد يمكن وصفه لعلاج الحكة المهبلية حتى يتم تحديد مسبب الحكة، ومن العلاجات الواردة بحسب مسبب الحكة ما يأتي:

التحاميل المهبلية المضادة للبكتيريا.
التحاميل المهبلية المضادة للفطريات.
تجنب التعرض لمسببات الحساسية، مثل تغيير نوع مسحوق الغسيل المستقدم.
ارتداء الملابس الداخلية القطنية.
تجنب استخدام منتجات العناية الشخصية في منطقة المهبل.

بناءً على ما تم توضيحه أنصحك بمراجعة طبيبة نسائية في أقرب فرصة ممكنة حتى يتم وصف العلاج المناسب للتخلص من مسبب الحساسية المهبلية.
 
أما بالنسبة للفطريات في إصبع القدم الكبير فتتطلب الاطلاع عليها من قبل الطبيب أيضًا قبل وصف المرهم المضاد للفطريات، لأن بعض أنواع الفطريات التي تصيب أظافر القدم تتطلب العلاج بأدوية جهازية مع أدوية موضعية أو قد تتطلب إجراء زراعة لعينة من المنطقة المصابة بتحديد نوع الفطريات بدقة ووصف العلاج المناسب بناءً على النتائج.
 
",الأمراض الجلدية
459,اتقفل باب السيارة على اصابعي بقوة من اسبوعين والالم راح لكن الظفر صار لونه ازرق متدرج للابيض و حول الظفر صار لونه اسود ومره قاسي و المكان الي صار قاسي و لونه اسود ما احس فيه هل ذا الشيء طبيعي؟,"نزيف تحت الظفر بسبب رض
بيروح",الأمراض الجلدية
460,أريد القيام بعملية لتكبير الثدي متى يجب علي إيقاف الروكتان المستخدم لعلاج حب الشباب قبل العملية؟,"تم ربط استخدام دواء الروكتان بتشكل ندبات جراحية كبيرة عند إجراء عمل جراحي خلال استخدام الدواء، وينصح بإيقاف استخدام دواء الروكتان قبل ما لا يقل عن 6 أشهر من إجراء عمل جراحي قابل للتأجيل.
 
يشار أنه في المقابل فلا يجب إيقاف دواء الروكتان أيضًا دون استشارة الطبيب، وينصح باستكمال العلاج للحد من فرص حدوث انتكاس في حب الشباب، لذلك أنصحك باستشارة الطبيب المتابع لعلاج حب الشباب لديك، واستشارة طبيب جراحة الثدي حول إمكانية تأجيل العملية حتى الانتهاء من العلاج بدواء الروكتان والانتظار لمدة كافية بعد إيقاف الدواء قبل إجراء العملية للحد من خطر تشكل ندبات دائمة في الصدر بعد عملية تكبير الثدي.
 
يجدر الذكر أيضًا أن لعملية تكبير الثدي مجموعة من المخاطر التي يجب أخذها بعين الاعتبار ومناقشتها مع الطبيب قبل إجراء عملية تكبير الثدي.
 
",الأمراض الجلدية
461,في الجانب الأيسر للرأس في منطقه الصدغ تظهر بقعة صغيرة تحت الجلد اشبه بالنزيف يصاحبها ألم في المكان وتختفي بعد مدة وتظهر مرة أخرى بفترات زمنيه مختلفة,"أنصحك بمراجعة طبيب مختص دون تأخير لأن البقع الحمراء المؤلمة تحت الجلد تستدعي مراجعة الطبيب، خصوصًا أنها تكررت أكثر من مرة كما ذكرت، أما البقع الحمراء تحت الجلد التي تظهر بشكل عرضي فتدل في غالب على نزيف بسيط تحت الجلد مثل الناجم عن التعرض لإصابة في المنطقة.
 
هناك عدة أسباب ظهور بقع حمراء تحت الجلد، ومنها الآتي:

عوز فيتامين سي.
بعض أنواع العدوى.
التهاب في الأوعية الدموية في المنطقة.
قلة الصفيحات الدموية.

سوف يقوم الطبيب بإجراء الاختبارات التشخيصية المناسبة للكشف عن مسبب البقع الحمراء في الرأس لديك، وبناءً على نتائج الاختبارات سوف يتم وصف العلاج المناسب.
 
",الأمراض الجلدية
462,واعاني من فطريات والتهابات مستمره بالرغم من اخذ علاجات صار لي شهرين تقريبا ومافي اي فايده من العلاج وعملت تحليل سكر وطبيعي ماهي المشكله في عدم استفادتي من العلاج في كل مره,"برجاء توضيح جميع الادوية المستخدمة
والمواظبة على تشطيف مهبلي قلوى او على الاقل استخدم ماء وملح في التشطيف",الأمراض الجلدية
463,من حوالي ٣ شهور بدأت الاحظ حبوب بعد حلاقة منطقة العانة وزاد حجمها و عددها بالتدريج إلى أن وصل كما هو موضح في هذه الصورة هل علي انا اقلق؟ للعلم انه لا يوجد ألم و قد مارست الجنس مع عدة فتيات لا اعرفهم جيداً بعد أحد الحفلات,"يظهر في الصورة المرفقة مجموعة من الثآليل الجلدية أو ما يعرف بالثآليل التناسلية، وظهور هذه الثآليل بعد ممارسة علاقة جنسية يعني في الغالب الإصابة بعدوى فيروس الورم الحليمي البشري، ويجب عدم التأخر في مراجعة الطبيب المختص لتحديد العلاج المناسب والحصول على اللقاح المخصص للوقاية من عدوى الفيروس الحليمي، للحد من فرص تطور مضاعفات صحية خطيرة.
 
قد تؤدي الإصابة بالثآليل التناسلية في بعض الحالات إلى تطور الإصابة بسرطان القضيب لدى الرجال المصابين، لذلك يجب عدم التأخر بمراجعة الطبيب والخضوع للعلاج المناسب، كما أود لفت انتباهك إلى ضرورة عدم محاولة علاج الثآليل التناسلية في المنزل أو باستخدام الأدوية المستخدمة في علاج الأنواع الأخرى من الثآليل فقد يؤدي ذلك إلى انتشار الثآليل.
 
سوف ابين لك فيما يأتي مجموعة من الخيارات العلاجية للتخلص من الثآليل في منطقة العانة:

الأدوية التي تساهم في تعزيز قدرة الجهاز المناعي على محاربة العدوى.
الأدوية التي تعمل على حرق الثآليل.
العلاج بالتبريد.
الكي الكهربائي للثآليل.
الاستئصال الجراحي.
العلاج بالليزر.

",الأمراض الجلدية
464,عمري عشرون سنة ولدي مشكله حبوب دهنية في وجهي دامت اكثر من 3 سنين تكون الحبة بها دهون بيضاء وعندما أتعرض للشمس يزيد الوضع سوء.,"تعود أسباب ظهور الحبوب الدهنية في الوجه إلى فرط نشاط الغدد الدهنية في الوجه نتيجة بعض التقلبات الهرمونية والعوامل الأخرى مثل التعرض لأشعة الشمس، وهناك عدة نصائح وتدابير قد تساهم في التخفيف من مشكلة الحبوب الدهنية البيضاء في الوجه، ومنها الآتي:

تطبيق زيت شجرة الشاي.
تطبيق كريم الألوفيرا.
الحد من التعرض لأشعة الشمس وتطبيق الواقي الشمسي.
غسل الوجه بشكل دوري.
استخدام الكريمات التي تحتوي على نسبة منخفضة من فيتامين أ والمتوفرة في الصيدليات دون وصفة طبية.
تبخير الوجه لتوسيع مسامات الوجه وتسريع زوال الحبوب.
ترطيب البشرة بشكل دوري.

أنصحك في حال عدم نجاح الطرق السابقة في التخفيف من الحبوب البيضاء الدهنية في الوجه باستشارة الطبيب، فهناك العديد من العلاجات الأخرى الفعالة في التخفيف من الحبوب والتي تتطلب وصفة طبية.
 
",الأمراض الجلدية
465,مَـرحبا أَنـي بشرتي مختلطه الى حساسه كان يطلعلي حبوب واعالجها ب اڤوسين مسحه بسيطه ويروح وهسه همين طلعلي ومديروح بهلعلاج و ڪُـلش ناعم الحبوب شِنوُ اسوي وشستخدم ولدي روتين خاص,"يعاني العديد من الأشخاص من ظهور حب الشباب في منطقة الجبهة، خاصة الأشخاص الذين يعانون من البشرة الدهنية أو المختلطة، وإن ظهور حبوب في منطقة الجبهة قد يعود لتراكم الإفرازات الدهنية الزائدة وخلايا الجلد الميتة التي تسبب انسداد المسامات وظهور الحبوب.
 
تجدر الإشارة إلى أن محلول أفوسين لحب الشباب يحتوي على المادة الفعالة كليندامايسين بنسبة 1%، التي تعتبر من المضادات الحيوية التي توقف نمو البكتيريا في حالات حب الشباب.
 
وتشمل أبرز طرق التخلص من الحبوب التي تظهر في منطقة الجبهة، ما يلي:

استشارة الطبيب المختص عن المضادات الحيوية المناسبة.
استشارة الطبيب المختص عن استخدام المنتجات التي تحتوي على الريتينويدات.
استشارة الطبيب المختص عن المنتجات التي تحتوي على البنزويل بيروكسيد.
استشارة الطبيب المختص عن المنتجات التي تحتوي على حمض الأزيليك.
استخدام المنتجات التي تحتوي على زيت شجرة الشاي.
استخدام غسول مناسب لنوع البشرة مرتان يومياً.
تجنب فرك البشرة خاصة موضع ظهور حب الشباب.
غسل الشعر بصورة دورية باستخدام نوع شامبو مناسب.
تجنب استخدام الزيوت على الشعر وفروة الرأس.
تجنب لمس البشرة والحبوب.

",الأمراض الجلدية
466,وجود رائحة كريهة بين الفخذين حول العضو الذكري ارجو تزويدي ب علاج والسبب,"قبل تحديد علاج وجود رائحة كريهة بين الفخذين حول العضو الذكري، يجب في البداية الإشارة إلى الأسباب المحتملة التي قد تشمل ما يلي:

تراكم خلايا البشرة المتقشرة والدهون في الأعضاء التناسلية.
وجود فطريات بين الفخذين.
التهاب الحشفة في منطقة رأس القضيب.
وجود أمراض جلدية في المنطقة بين الفخذين، مثل الصدفية.
إصابة الرجل بأحد الأمراض المنقولة جنسياً.
التهاب المسالك البولية.
التهاب الإحليل.
التهاب البروستاتا.

ينصح بضرورة مراجعة الطبيب المختص لتحديد التشخيص والعلاج المناسب، مع مراعاة النصائح التالية:

غسل المنطقة التناسلية والأعضاء بصورة أكثر تكراراً.
غسل العضو الذكري بالماء والصابون غير المعطر، مع ضرورة تجفيف القضيب برفق وتجنب الفرك بعد شطفه جيداً.
ضرورة الاستحمام بصورة منتظمة.
ضرورة ارتداء ملابس داخلية فضفاضة ومصنوعة من القطن، لتجنب تراكم العرق والبكتيريا.
ضرورة إزالة شعر العانة بصورة منتظمة، حيث أنه يسبب تراكم الأوساخ والبكتيريا.
ارتداء الواقي الذكري أثناء ممارسة الجماع.
ضرورة تنظيف العضو الذكري بعد ممارسة الجماع.

",الأمراض الجلدية
467,حبوب بيضاء صغيرة متوزعة اسفل العضو التناسلي من سنين ،ايضا حبة نوعاً ما كبيرة لها اكثر من اسبوع,الحبوب البيضاء الصغيرة غالبا تسمى Fordyce spots وهى عبارة عن غدد طبيعية تتواجد تحت الجلد خصوصا فى الاماكن التى يقل بها سمك الجلد لذلك يمكن رؤيتها وهى طبيعية تماما ولا داعى للقلق منهالكن وجود اى حبوب تناسلية حديثة يستدعى سرعة الفحص والعرض على الطبيب لتحديد نوع الحبوب,الأمراض الجلدية
468,السلام عليكم انا رحت الصالون امس و كان في منطقة فيها حبوب فـ و الحلاق قاعد يحلق لي بالماكينة انجرحت الحبة او ثنتين و انا جداً متخوف فـ شنو اسوي و انا بعد ما انجرحت بـ نص ساعة رشيت عالجرح عطر + انا ما ادري اذا استخدمها حق احد اخر قبلي ولا لا,"لاداعي للقلق
لا
داعي لشيء",الأمراض الجلدية
469,جروح مع حكه قويه من مده سنتين بشكل هجمات تزول وتعود كل فتره والجروح كانها تاكل الجلد ويشفى ثم يعود وهكذا مع ابيضاض بالمنطقه,شوف طبيب بالعيادة,الأمراض الجلدية
470,بنتي عمرها سنتين ونص طلعت لها حبوب صغار مره وفي منها كبيره شوي ما ادري هل هيا حساسية او اكلت شي وحسس بجسمها كذا,"غير واضحه
لازم
العرض ضروري على طبيب اطفال
الفحص اللازم
والمعالجة حسب الحالة",الأمراض الجلدية
471,ضهرت لي قبل حوالي ٣الى٤ أشهر حبه صغييرة في الابط الأيمن وكنت أظنها شعر تحت الجلد وكان لها بروز وغير مؤلمة ولونه مايل للأسود حاولت الضغط عليها قبل فتره ولم يخرج منها شي واليوم حاولت مرة اخرى ان أضغط عليها بقوة و خرج منها حبتان صغيرتان تشبهه حبة السوداء لكنها أصغر وسوداء محاطه بغشاء خفيف جداً كالدهن,الكشف والفحص لازم عند طبيب جلدية,الأمراض الجلدية
472,"السن 54 سنه
وجود خراج أو دمل فى منطقة الفخد وورم المنطقة ومش قادرة اتحرك من الوجع بيكى من الوجع والألم",لازم علاج خراح بالمشفى,الأمراض الجلدية
473,في اي وقت ايدي و رجلي بيحمروا و بحس اني عايزه اهرش و معرفش السبب,لازم طلب تحاليل ومتابعه مع طبيب,الأمراض الجلدية
474,انحرقت ايدي من الجرل ومش عارفة اي نوع دوا مناسب واذا اغطيها او لا ما عندي وقت اعرضها على طبيب,"درجه
اولى
لا
داعي لشيء",الأمراض الجلدية
475,انا بدايه الشهر السابع واود صبغ شعري ب حناء فاتيكا هل هي مضره لي وللجنين رغم انها مكتوبه خاليه من الامونيا ارجووو الرد,"يعد صبغ الشعر للحامل من أكثر الأمور المثيرة للجدل، حيث تختلف آراء العلماء، إلا أنه يجب أن يتم توضيح بعض المعلومات بناء على الدراسات العلمية والأدلة كما يلي:

يجب الانتظار لحين انقضاء الثلث الأول من الحمل قبل استخدام صبغة الشهر مهما كان نوعها، حيث أنها الفترة التي يتطور خلالها الجنين.
يوجد بعض العوامل التي تجعل صبغة الشعر آمنة خلال الحمل، ومنها أن تكون مكونة من مكونات نباتية أو عضوية، مثل الحناء.
يجب أن تكون الصبغات المستخدمة خلال الحمل خالية من الأمونيا، أو أي معادن ثقيلة، أو مادة البارابين، أو الفثاليتات.
عند استخدام صبغة الشعر بعد استشارة الطبيب فقط، يجب الالتزام بتعليمات الاستخدام المخصصة للمنتج، واستخدامها على الشعر لأقصر فترة زمنية محددة.
يجب تجنب استخدام أي نوع من صبغات الشعر خلال الحمل في حال وجود أي مشاكل أو التهابات في فروة الرأس.
يجب مراجعة الطبيب في حال وجود أي شك أو قلق حول سلامة وأمان استخدام المنتج خلال الحمل.
يجب تجنب استخدام الحناء السوداء خلال الحمل، حيث أنها تحتوي على مادة بارا-فينيلين ديامين التي تعتبر غير آمنة، وقد تسبب الحساسية والتهاب الجلد.
يجب تجنب استخدام الحناء التي تحتوي على الأملاح المعدنية، أو أي مواد كيميائية خلال الحمل.
يمكن استخدام الحناء الطبيعية ذات اللون البني الخالية من أي مواد كيميائية، خاصة في حال الرغبة بتجنب الصبغات الكيميائية خلال الحمل.
في حال عدم التأكد من أن حناء فاتيكا للشعر طبيعية بنسبة 100%، يجب تجنب استخدامها خلال الحمل.

",الأمراض الجلدية
476,مرحبا انا ابلغ من العمر 17 بشرتي حساسة عندما اذهب للمدرسة أتعرض لشمس وأصبحت بشرتي سيئة مع انني أحاول أن أضع واقي الشمس لكن بلا فائدة كيف أرجع بشرتي السابقة؟,"يعتمد علاج حرق البشرة من الشمس على شدة الحرق وتسببه بالتهاب في البشرة من عدمه، وفي العديد من الحالات فإن الحرق الذي يقتصر على اسمرار البشرة يزول بعد التوقف عن التعرض للشمس بشكل كبير دون الحاجة لاتخاذ أي من الإجراءات الخاصة.
 
أنصحك باتباع التدابير التالية التي تحد من اسمرار الجلد الناجم عن التعرض للشمس:

ارتداء قبعة مناسبة خلال الذهاب إلى المدرسة لحماية الوجه من أشعة الشمس.
تطبيق الكريم الشمسي الواقي على الوجه واليدين.
ارتداء ملابس تغطي معظم الجسم، مثل ارتداء قميص ذو أكمام طويلة بدلًا من القميص الذي يغطي جزء محدود من الذراع فقط.
محاولة المشي تحت الظل قدر الإمكان.
ترطيب البشرة بشكل دوري.
استشارة الطبيب حول الحاجة إلى استخدام كريمات علاجية أو تقشير البشرة بحسب شدة الضرر الحاصل على الجلد نتيجة التعرض لأشعة الشمس.

",الأمراض الجلدية
477,"مرحبا اعاني منذ فترة من ظهور تقرحات على لساني تختفي وتظهر بشكل مستمر وتسبب لي الخوف والقلق علماً انني عملت فحص الايدز المنزلي و فحص الانتجين p24 لانني كنت اشك به ولكن كانت النتيجة سليمة والحمدلله ماهو السبب
شكراً لفريق طبي وجميع الاطباء","يوجد العديد من الأسباب والحالات التي تسبب ظهور تقرحات الفم واللسان بصورة متكررة، ومن أبرز هذه الأسباب ما يلي:

الاضطرابات التي تصيب جهاز المناعة.
الاضطرابات والمشاكل الوراثية.
المواد الحافظة والمكونات التي يتم التعرض لها من معجون الأسنان، خاصة كبريتات لوريل الصوديوم.
التعرض لإصابة في الفم نتيجة فرشاة الأسنان، أو أطقم الأسنان وغيرها.
الإجهاد والضغوطات المختلفة.
الحساسية تجاه أنواع معينة من الأطعمة.
الإصابة بحالات نقص فيتامين B12.
النقص في مستويات الزنك.
النقص في حمض الفوليك، أو الحديد.
التعرض للحروق في الفم نتيجة المشروبات الساخنة.
العمل على استخدام فرشاة الأسنان واللسان بقوة.
التدخين.
الاضطرابات الهرمونية.
الأدوية المستخدمة.
الإصابة بمرض كرون.
الإصابة بفيروس نقص المناعة البشرية.

تجدر الإشارة إلى أن قرحة الفم الناكسة لا يمكن تحديد أسبابها دون الرجوع للطبيب المختص، لاستبعاد جميع الأسباب المحتملة والعلاج المناسب.
",الأمراض الجلدية
478,حبوب على القضيب تسبب الحكة عند التعرق والجفاف، وتذهب وتعود كل فترة من ٣ اشهر,"قد يعاني بعض الرجال من ظهور حبوب على القضيب يرافقها أعراض الحكة، خاصة عند التعرق، والتي قد يتكرر ظهورها بحيث تذهب وتعود كل مدة محددة. ويجب أن يتم تقييم الأعراض في هذه الحالة من قبل الطبيب المختص لاستبعاد أي من الأسباب المحتملة التالية:

الإصابة بأحد الأمراض المنقولة جنسياً التي تسببها البكتيريا، مثل الكلاميديا والسيلان وغيرها.
الإصابة بالعدوى الفيروسية المنقولة جنسياً، مثل فيروس الورم الحليمي البشري وغيرها.
الإصابة بعدوى القمل التي قد تصيب منطقة الأعضاء التناسلية.
الالتهابات الفطرية التي تصيب الأعضاء التناسلية، مثل داء المبيضات وغيرها.
التهيج نتيجة الصابون والمستحضرات المستخدمة.
التهيج نتيجة ارتداء الملابس الداخلية غير المناسبة.
التعرق الشديد في منطقة الأعضاء التناسلية وعدم تبديل الملابس عند التعرق.
الالتهاب في المسالك البولية.
الإصابة بمرض الجرب.
الحزاز المتصلب والضموري.
الالتهابات الفطرية في الأعضاء التناسلية ومنطقة الفخذ، مثل سعفة الارفاغ.
الثآليل التناسلية.
القيلة الليمفاوية.
الصدفية أو الإكزيما.
الالتهاب في الحشفة.
الإصابة بسرطان القضيب.
الورم القرني الوعائي.
الالتهاب في بصيلات الشعر.

ينصح بضرورة مراجعة الطبيب المختص من أجل تحديد العلاج المناسب.
",الأمراض الجلدية
